Energie Oppervlakte Links,3152,,Energie Oppervlakte Rechts,3156,,InschakelpiekLinks,3152,,InschakelpiekRechts,3156,,MaxOmloopStroomLinks,3152,,MaxOmloopStroomRechts,3156,,OmloopTijdLinks_Motorstroom,3152,,OmloopTijdRechts_Motorstroom,3156,,OmloopTijdRechts_Relais,3156,,OmloopTijdLinks_Relais,3152,,SectieBezettingTijd,6789,,TijdEindMotorstroomControleLinks,3152,,TijdEindMotorstroomControleRechts,3156,,TijdSturingMotorstroomLinks,3152,,TijdSturingMotorstroomRechts,3156,,UitControleTijd,6320
01/Apr/19 08:32:43.595,5.46679635448383,,01/Apr/19 08:28:59.396,5.48646491169292,,01/Apr/19 08:32:43.595,18.1015015,,01/Apr/19 08:28:59.396,17.98584,,01/Apr/19 08:32:43.595,4.37162632831057,,01/Apr/19 08:28:59.396,4.31759250321685,,01/Apr/19 08:32:43.595,1.3800049,,01/Apr/19 08:28:59.396,1.3999939,,01/Apr/19 08:28:59.396,1.451004,,01/Apr/19 08:32:43.595,1.3999939,,01/Apr/19 06:44:37.776,11.8019867,,01/Apr/19 08:32:43.595,0.0079956,,01/Apr/19 08:28:59.396,0.0480041,,01/Apr/19 08:32:43.595,0.0119934,,01/Apr/19 08:28:59.396,0.003006,,01/Apr/19 06:48:20.689,1.350998
01/Apr/19 09:08:02.961,5.58700572889054,,01/Apr/19 08:34:57.745,5.46805818205062,,01/Apr/19 09:08:02.961,18.1396484,,01/Apr/19 08:34:57.745,17.8952026,,01/Apr/19 09:08:02.961,4.4924669334586,,01/Apr/19 08:34:57.745,4.31102046925513,,01/Apr/19 09:08:02.961,1.3919983,,01/Apr/19 08:34:57.745,1.3920135,,01/Apr/19 08:34:57.745,1.4000091,,01/Apr/19 09:08:02.961,1.4000091,,01/Apr/19 06:50:44.775,35.6500091,,01/Apr/19 09:08:02.961,0.0080108,,01/Apr/19 08:34:57.745,0.0079956,,01/Apr/19 09:08:02.961,0,,01/Apr/19 08:34:57.745,0,,01/Apr/19 06:59:03.396,1.3500061
01/Apr/19 09:13:25.321,5.57658197464124,,01/Apr/19 09:09:38.061,5.53713074838684,,01/Apr/19 09:13:25.321,18.0957031,,01/Apr/19 09:09:38.061,18.0450439,,01/Apr/19 09:13:25.321,4.39816939971548,,01/Apr/19 09:09:38.061,4.22788520280935,,01/Apr/19 09:13:25.321,1.3919983,,01/Apr/19 09:09:38.061,1.4100037,,01/Apr/19 09:09:38.061,1.449997,,01/Apr/19 09:13:25.321,1.4000092,,01/Apr/19 07:00:48.933,11.5980072,,01/Apr/19 09:13:25.321,0.0080109,,01/Apr/19 09:09:38.061,0.0079956,,01/Apr/19 09:13:25.321,0,,01/Apr/19 09:09:38.061,0.0319977,,01/Apr/19 07:02:03.596,1.3500062
01/Apr/19 09:27:09.230,5.48742583946415,,01/Apr/19 09:16:57.570,5.51708104996284,,01/Apr/19 09:27:09.230,18.18695,,01/Apr/19 09:16:57.570,18.1069946,,01/Apr/19 09:27:09.230,4.38321846144129,,01/Apr/19 09:16:57.570,4.2434321787183,,01/Apr/19 09:27:09.230,1.3800049,,01/Apr/19 09:16:57.570,1.4100037,,01/Apr/19 09:16:57.570,1.449997,,01/Apr/19 09:27:09.230,1.4000091,,01/Apr/19 07:04:19.833,26.6990052,,01/Apr/19 09:27:09.230,0.0070037,,01/Apr/19 09:16:57.570,0.0169983,,01/Apr/19 09:27:09.230,0.0130005,,01/Apr/19 09:16:57.570,0.022995,,01/Apr/19 07:05:07.795,1.3500061
01/Apr/19 09:35:06.779,5.31356899821062,,01/Apr/19 09:32:24.630,5.49491140000522,,01/Apr/19 09:35:06.779,18.2339478,,01/Apr/19 09:32:24.630,18.1726074,,01/Apr/19 09:35:06.779,4.37895061822933,,01/Apr/19 09:32:24.630,4.25625250116426,,01/Apr/19 09:35:06.779,1.3629913,,01/Apr/19 09:32:24.630,1.4019928,,01/Apr/19 09:32:24.630,1.4499969,,01/Apr/19 09:35:06.779,1.3999939,,01/Apr/19 07:07:10.334,27.201004,,01/Apr/19 09:35:06.779,0.0370026,,01/Apr/19 09:32:24.630,0.0480041,,01/Apr/19 09:35:06.779,0,,01/Apr/19 09:32:24.630,0,,01/Apr/19 07:07:26.945,1.3500061
01/Apr/19 09:40:08.078,5.59333916161504,,01/Apr/19 09:38:09.979,5.55745393094759,,01/Apr/19 09:40:08.078,18.1112671,,01/Apr/19 09:38:09.979,17.8427124,,01/Apr/19 09:40:08.078,4.38901992062444,,01/Apr/19 09:38:09.979,4.32065622448857,,01/Apr/19 09:40:08.078,1.3969879,,01/Apr/19 09:38:09.979,1.4100037,,01/Apr/19 09:38:09.979,1.449997,,01/Apr/19 09:40:08.078,1.3999939,,01/Apr/19 07:09:23.233,16.5999909,,01/Apr/19 09:40:08.078,0,,01/Apr/19 09:38:09.979,0.0279999,,01/Apr/19 09:40:08.078,0.003006,,01/Apr/19 09:38:09.979,0.0119934,,01/Apr/19 07:12:30.305,1.3500061
01/Apr/19 09:45:34.489,5.70081741780656,,01/Apr/19 09:42:07.239,5.26312300517634,,01/Apr/19 09:45:34.489,17.9925537,,01/Apr/19 09:42:07.239,18.024292,,01/Apr/19 09:45:34.489,4.46012112813942,,01/Apr/19 09:42:07.239,4.24527506861024,,01/Apr/19 09:45:34.489,1.4100036,,01/Apr/19 09:42:07.239,1.3820038,,01/Apr/19 09:42:07.239,1.4000091,,01/Apr/19 09:45:34.489,1.451004,,01/Apr/19 07:14:39.794,16.0500031,,01/Apr/19 09:45:34.489,0.0279999,,01/Apr/19 09:42:07.239,0.0180053,,01/Apr/19 09:45:34.489,0.0130005,,01/Apr/19 09:42:07.239,0,,01/Apr/19 07:17:11.605,1.3500061
01/Apr/19 09:56:04.187,5.63320803623768,,01/Apr/19 09:49:14.738,5.47231113115883,,01/Apr/19 09:56:04.187,17.9721069,,01/Apr/19 09:49:14.738,17.9891968,,01/Apr/19 09:56:04.187,4.44974200916144,,01/Apr/19 09:49:14.738,4.28615882899627,,01/Apr/19 09:56:04.187,1.4000091,,01/Apr/19 09:49:14.738,1.3999939,,01/Apr/19 09:49:14.738,1.4499969,,01/Apr/19 09:56:04.187,1.449997,,01/Apr/19 07:19:28.195,29.699997,,01/Apr/19 09:56:04.187,0.0370026,,01/Apr/19 09:49:14.738,0.0480041,,01/Apr/19 09:56:04.187,0.0129853,,01/Apr/19 09:49:14.738,0.0019989,,01/Apr/19 07:21:43.854,1.3000031
01/Apr/19 10:03:46.696,5.5766649498431,,01/Apr/19 10:01:17.546,5.60802284905799,,01/Apr/19 10:03:46.696,17.9724121,,01/Apr/19 10:01:17.546,17.78717,,01/Apr/19 10:03:46.696,4.45645152056861,,01/Apr/19 10:01:17.546,4.32644690528791,,01/Apr/19 10:03:46.696,1.3899994,,01/Apr/19 10:01:17.546,1.4129943,,01/Apr/19 10:01:17.546,1.4499969,,01/Apr/19 10:03:46.696,1.4500123,,01/Apr/19 07:24:02.594,24.1999969,,01/Apr/19 10:03:46.696,0.0380097,,01/Apr/19 10:01:17.546,0.0370026,,01/Apr/19 10:03:46.696,0.0220032,,01/Apr/19 10:01:17.546,0,,01/Apr/19 07:30:59.513,1.2999878
01/Apr/19 10:16:27.554,5.60897095813954,,01/Apr/19 10:06:20.845,5.34846115769189,,01/Apr/19 10:16:27.554,17.8863525,,01/Apr/19 10:06:20.845,18.0343628,,01/Apr/19 10:16:27.554,4.42868697553775,,01/Apr/19 10:06:20.845,4.25869350321685,,01/Apr/19 10:16:27.554,1.4000092,,01/Apr/19 10:06:20.845,1.3930053,,01/Apr/19 10:06:20.845,1.3999939,,01/Apr/19 10:16:27.554,1.4499969,,01/Apr/19 07:33:30.855,26.9499969,,01/Apr/19 10:16:27.554,0.0369873,,01/Apr/19 10:06:20.845,0.0069886,,01/Apr/19 10:16:27.554,0.0130004,,01/Apr/19 10:06:20.845,0,,01/Apr/19 07:33:38.662,1.2999878
