Sturing Stand,6338,,Controle Stand,12886,,MotorstroomActief,12897,,Sectie Berijding,13578
,,,17/Apr/19 09:52:10.908,Links in controle,,17/Apr/19 09:49:37.342,Motorstroom Actief,,16/Apr/19 19:07:51.190,Geen Berijding
,,,17/Apr/19 09:56:11.899,Uit controle,,17/Apr/19 09:49:38.712,Geen Motorstroom,,16/Apr/19 19:13:09.189,Wel Berijding
,,,17/Apr/19 09:56:13.149,Rechts in controle,,17/Apr/19 09:49:40.340,Motorstroom Actief,,16/Apr/19 19:13:31.090,Geen Berijding
,,,17/Apr/19 09:58:45.067,Uit controle,,17/Apr/19 09:49:41.690,Geen Motorstroom,,16/Apr/19 19:14:43.240,Wel Berijding
,,,17/Apr/19 09:58:46.317,Links in controle,,17/Apr/19 09:52:09.510,Motorstroom Actief,,16/Apr/19 19:14:53.839,Geen Berijding
,,,17/Apr/19 10:02:32.316,Uit controle,,17/Apr/19 09:52:10.860,Geen Motorstroom,,16/Apr/19 19:17:32.839,Wel Berijding
,,,17/Apr/19 10:02:33.566,Rechts in controle,,17/Apr/19 09:56:11.771,Motorstroom Actief,,16/Apr/19 19:18:00.990,Geen Berijding
,,,17/Apr/19 10:06:56.566,Uit controle,,17/Apr/19 09:56:13.121,Geen Motorstroom,,16/Apr/19 19:23:40.800,Wel Berijding
,,,17/Apr/19 10:06:57.866,Links in controle,,17/Apr/19 09:56:31.800,Motorstroom Actief,,16/Apr/19 19:24:02.999,Geen Berijding
,,,17/Apr/19 10:10:16.815,Uit controle,,17/Apr/19 09:56:33.140,Geen Motorstroom,,16/Apr/19 19:26:04.750,Wel Berijding
,,,17/Apr/19 10:10:18.065,Rechts in controle,,17/Apr/19 09:58:44.959,Motorstroom Actief,,16/Apr/19 19:26:21.251,Geen Berijding
,,,17/Apr/19 10:14:01.058,Uit controle,,17/Apr/19 09:58:46.309,Geen Motorstroom,,16/Apr/19 19:28:21.751,Wel Berijding
,,,17/Apr/19 10:14:02.358,Links in controle,,17/Apr/19 09:58:55.971,Motorstroom Actief,,16/Apr/19 19:28:45.650,Geen Berijding
,,,17/Apr/19 10:26:02.874,Uit controle,,17/Apr/19 09:58:57.341,Geen Motorstroom,,16/Apr/19 19:31:58.850,Wel Berijding
,,,17/Apr/19 10:26:04.124,Rechts in controle,,17/Apr/19 10:02:32.199,Motorstroom Actief,,16/Apr/19 19:32:15.001,Geen Berijding
,,,17/Apr/19 10:29:02.085,Uit controle,,17/Apr/19 10:02:33.539,Geen Motorstroom,,16/Apr/19 19:34:56.600,Wel Berijding
,,,17/Apr/19 10:29:03.585,Links in controle,,17/Apr/19 10:03:14.240,Motorstroom Actief,,16/Apr/19 19:35:23.101,Geen Berijding
,,,17/Apr/19 10:31:31.235,Uit controle,,17/Apr/19 10:03:15.590,Geen Motorstroom,,16/Apr/19 19:37:05.610,Wel Berijding
,,,17/Apr/19 10:31:32.485,Rechts in controle,,17/Apr/19 10:06:56.488,Motorstroom Actief,,16/Apr/19 19:37:18.210,Geen Berijding
,,,17/Apr/19 10:34:45.435,Uit controle,,17/Apr/19 10:06:57.848,Geen Motorstroom,,16/Apr/19 19:41:59.559,Wel Berijding
,,,17/Apr/19 10:34:46.735,Links in controle,,17/Apr/19 10:09:18.649,Motorstroom Actief,,16/Apr/19 19:42:18.759,Geen Berijding
,,,17/Apr/19 10:35:26.465,Uit controle,,17/Apr/19 10:09:20.019,Geen Motorstroom,,16/Apr/19 19:44:48.360,Wel Berijding
,,,17/Apr/19 10:35:27.765,Rechts in controle,,17/Apr/19 10:10:16.708,Motorstroom Actief,,16/Apr/19 19:45:00.559,Geen Berijding
,,,17/Apr/19 10:40:20.834,Uit controle,,17/Apr/19 10:10:18.038,Geen Motorstroom,,16/Apr/19 19:50:05.811,Wel Berijding
,,,17/Apr/19 10:40:22.134,Links in controle,,17/Apr/19 10:11:44.811,Motorstroom Actief,,16/Apr/19 19:50:33.059,Geen Berijding
,,,17/Apr/19 10:45:37.143,Uit controle,,17/Apr/19 10:11:46.161,Geen Motorstroom,,16/Apr/19 19:59:44.571,Wel Berijding
,,,17/Apr/19 10:45:38.442,Rechts in controle,,17/Apr/19 10:14:00.971,Motorstroom Actief,,16/Apr/19 19:59:57.772,Geen Berijding
,,,17/Apr/19 10:46:33.223,Uit controle,,17/Apr/19 10:14:02.331,Geen Motorstroom,,16/Apr/19 20:01:21.871,Wel Berijding
,,,17/Apr/19 10:46:34.523,Links in controle,,17/Apr/19 10:14:52.028,Motorstroom Actief,,16/Apr/19 20:02:01.072,Geen Berijding
,,,17/Apr/19 10:48:59.373,Uit controle,,17/Apr/19 10:14:53.378,Geen Motorstroom,,16/Apr/19 20:05:31.271,Wel Berijding
,,,17/Apr/19 10:49:00.673,Rechts in controle,,17/Apr/19 10:26:02.757,Motorstroom Actief,,16/Apr/19 20:05:56.571,Geen Berijding
,,,17/Apr/19 10:52:07.591,Uit controle,,17/Apr/19 10:26:04.087,Geen Motorstroom,,16/Apr/19 20:07:15.432,Wel Berijding
,,,17/Apr/19 10:52:08.891,Links in controle,,17/Apr/19 10:26:58.828,Motorstroom Actief,,16/Apr/19 20:07:32.731,Geen Berijding
,,,17/Apr/19 10:56:41.891,Uit controle,,17/Apr/19 10:27:00.168,Geen Motorstroom,,16/Apr/19 20:12:43.783,Wel Berijding
,,,17/Apr/19 10:56:43.152,Rechts in controle,,17/Apr/19 10:29:01.978,Motorstroom Actief,,16/Apr/19 20:12:52.981,Geen Berijding
,,,17/Apr/19 10:57:10.931,Uit controle,,17/Apr/19 10:29:03.328,Geen Motorstroom,,16/Apr/19 20:16:47.132,Wel Berijding
,,,17/Apr/19 10:57:12.231,Links in controle,,17/Apr/19 10:29:13.988,Motorstroom Actief,,16/Apr/19 20:17:02.881,Geen Berijding
,,,17/Apr/19 11:07:20.601,Uit controle,,17/Apr/19 10:29:15.338,Geen Motorstroom,,16/Apr/19 20:19:14.481,Wel Berijding
,,,17/Apr/19 11:07:21.901,Rechts in controle,,17/Apr/19 10:31:31.128,Motorstroom Actief,,16/Apr/19 20:19:38.481,Geen Berijding
,,,17/Apr/19 11:11:08.851,Uit controle,,17/Apr/19 10:31:32.468,Geen Motorstroom,,16/Apr/19 20:22:07.341,Wel Berijding
,,,17/Apr/19 11:11:10.150,Links in controle,,17/Apr/19 10:34:45.348,Motorstroom Actief,,16/Apr/19 20:22:34.942,Geen Berijding
,,,17/Apr/19 11:13:37.062,Uit controle,,17/Apr/19 10:34:46.698,Geen Motorstroom,,16/Apr/19 20:27:56.792,Wel Berijding
,,,17/Apr/19 11:13:38.312,Rechts in controle,,17/Apr/19 10:35:26.387,Motorstroom Actief,,16/Apr/19 20:28:08.692,Geen Berijding
,,,17/Apr/19 11:16:54.262,Uit controle,,17/Apr/19 10:35:27.727,Geen Motorstroom,,16/Apr/19 20:31:09.892,Wel Berijding
,,,17/Apr/19 11:16:55.562,Links in controle,,17/Apr/19 10:37:09.497,Motorstroom Actief,,16/Apr/19 20:31:36.491,Geen Berijding
,,,17/Apr/19 11:26:12.861,Uit controle,,17/Apr/19 10:37:10.847,Geen Motorstroom,,16/Apr/19 20:34:32.592,Wel Berijding
,,,17/Apr/19 11:26:14.111,Rechts in controle,,17/Apr/19 10:40:20.717,Motorstroom Actief,,16/Apr/19 20:35:00.091,Geen Berijding
,,,17/Apr/19 11:29:55.120,Uit controle,,17/Apr/19 10:40:22.077,Geen Motorstroom,,16/Apr/19 20:37:00.751,Wel Berijding
,,,17/Apr/19 11:29:56.419,Links in controle,,17/Apr/19 10:45:37.065,Motorstroom Actief,,16/Apr/19 20:37:53.051,Geen Berijding
,,,17/Apr/19 11:32:43.319,Uit controle,,17/Apr/19 10:45:38.415,Geen Motorstroom,,16/Apr/19 20:39:39.852,Wel Berijding
,,,17/Apr/19 11:32:44.569,Rechts in controle,,17/Apr/19 10:46:33.146,Motorstroom Actief,,16/Apr/19 20:39:49.752,Geen Berijding
,,,17/Apr/19 11:35:14.469,Uit controle,,17/Apr/19 10:46:34.496,Geen Motorstroom,,16/Apr/19 20:42:19.152,Wel Berijding
,,,17/Apr/19 11:35:15.769,Links in controle,,17/Apr/19 10:48:59.285,Motorstroom Actief,,16/Apr/19 20:42:37.301,Geen Berijding
,,,17/Apr/19 11:40:40.818,Uit controle,,17/Apr/19 10:49:00.625,Geen Motorstroom,,16/Apr/19 20:45:38.552,Wel Berijding
,,,17/Apr/19 11:40:42.118,Rechts in controle,,17/Apr/19 10:52:07.514,Motorstroom Actief,,16/Apr/19 20:45:53.901,Geen Berijding
,,,17/Apr/19 11:43:31.027,Uit controle,,17/Apr/19 10:52:08.864,Geen Motorstroom,,16/Apr/19 20:51:04.651,Wel Berijding
,,,17/Apr/19 11:43:32.327,Links in controle,,17/Apr/19 10:56:41.794,Motorstroom Actief,,16/Apr/19 20:51:34.613,Geen Berijding
,,,17/Apr/19 11:48:23.327,Uit controle,,17/Apr/19 10:56:43.134,Geen Motorstroom,,16/Apr/19 20:58:21.213,Wel Berijding
,,,17/Apr/19 11:48:24.627,Rechts in controle,,17/Apr/19 10:57:10.853,Motorstroom Actief,,16/Apr/19 20:58:31.113,Geen Berijding
,,,17/Apr/19 11:52:11.576,Uit controle,,17/Apr/19 10:57:12.203,Geen Motorstroom,,16/Apr/19 21:04:14.914,Wel Berijding
,,,17/Apr/19 11:52:12.876,Links in controle,,17/Apr/19 10:59:04.974,Motorstroom Actief,,16/Apr/19 21:04:39.264,Geen Berijding
,,,17/Apr/19 11:56:15.876,Uit controle,,17/Apr/19 10:59:06.324,Geen Motorstroom,,16/Apr/19 21:07:07.575,Wel Berijding
,,,17/Apr/19 11:56:17.126,Rechts in controle,,17/Apr/19 11:07:20.514,Motorstroom Actief,,16/Apr/19 21:07:25.175,Geen Berijding
,,,17/Apr/19 11:59:45.086,Uit controle,,17/Apr/19 11:07:21.854,Geen Motorstroom,,16/Apr/19 21:12:18.024,Wel Berijding
,,,17/Apr/19 11:59:46.386,Links in controle,,17/Apr/19 11:11:08.773,Motorstroom Actief,,16/Apr/19 21:12:27.524,Geen Berijding
,,,17/Apr/19 12:02:54.336,Uit controle,,17/Apr/19 11:11:10.123,Geen Motorstroom,,16/Apr/19 21:15:22.274,Wel Berijding
,,,17/Apr/19 12:02:55.586,Rechts in controle,,17/Apr/19 11:13:36.945,Motorstroom Actief,,16/Apr/19 21:15:51.274,Geen Berijding
,,,17/Apr/19 12:05:18.485,Uit controle,,17/Apr/19 11:13:38.285,Geen Motorstroom,,16/Apr/19 21:18:08.224,Wel Berijding
,,,17/Apr/19 12:05:19.786,Links in controle,,17/Apr/19 11:16:54.174,Motorstroom Actief,,16/Apr/19 21:18:25.726,Geen Berijding
,,,17/Apr/19 12:11:51.884,Uit controle,,17/Apr/19 11:16:55.514,Geen Motorstroom,,16/Apr/19 21:28:32.435,Wel Berijding
,,,17/Apr/19 12:11:53.185,Rechts in controle,,17/Apr/19 11:26:12.773,Motorstroom Actief,,16/Apr/19 21:28:47.334,Geen Berijding
,,,17/Apr/19 12:14:15.094,Uit controle,,17/Apr/19 11:26:14.113,Geen Motorstroom,,16/Apr/19 21:31:18.885,Wel Berijding
,,,17/Apr/19 12:14:16.344,Links in controle,,17/Apr/19 11:29:55.032,Motorstroom Actief,,16/Apr/19 21:31:33.335,Geen Berijding
,,,17/Apr/19 14:19:43.444,Uit controle,,17/Apr/19 11:29:56.382,Geen Motorstroom,,16/Apr/19 21:34:03.585,Wel Berijding
,,,17/Apr/19 14:19:44.693,Rechts in controle,,17/Apr/19 11:32:43.211,Motorstroom Actief,,16/Apr/19 21:34:28.735,Geen Berijding
,,,17/Apr/19 14:22:39.643,Uit controle,,17/Apr/19 11:32:44.551,Geen Motorstroom,,16/Apr/19 21:37:26.744,Wel Berijding
,,,17/Apr/19 14:22:40.943,Links in controle,,17/Apr/19 11:35:14.382,Motorstroom Actief,,16/Apr/19 21:37:38.595,Geen Berijding
,,,17/Apr/19 14:25:59.843,Uit controle,,17/Apr/19 11:35:15.732,Geen Motorstroom,,16/Apr/19 21:41:55.845,Wel Berijding
,,,17/Apr/19 14:26:01.143,Rechts in controle,,17/Apr/19 11:40:40.731,Motorstroom Actief,,16/Apr/19 21:42:15.045,Geen Berijding
,,,17/Apr/19 14:29:26.105,Uit controle,,17/Apr/19 11:40:42.071,Geen Motorstroom,,16/Apr/19 21:46:44.244,Wel Berijding
,,,17/Apr/19 14:29:27.404,Links in controle,,17/Apr/19 11:43:30.940,Motorstroom Actief,,16/Apr/19 21:47:00.995,Geen Berijding
,,,17/Apr/19 14:33:56.404,Uit controle,,17/Apr/19 11:43:32.290,Geen Motorstroom,,16/Apr/19 21:48:47.594,Wel Berijding
,,,17/Apr/19 14:33:57.654,Rechts in controle,,17/Apr/19 11:48:23.249,Motorstroom Actief,,16/Apr/19 21:49:18.694,Geen Berijding
,,,17/Apr/19 14:36:10.554,Uit controle,,17/Apr/19 11:48:24.589,Geen Motorstroom,,16/Apr/19 21:51:20.144,Wel Berijding
,,,17/Apr/19 14:36:11.854,Links in controle,,17/Apr/19 11:52:11.509,Motorstroom Actief,,16/Apr/19 21:51:39.944,Geen Berijding
,,,17/Apr/19 14:40:29.803,Uit controle,,17/Apr/19 11:52:12.859,Geen Motorstroom,,16/Apr/19 21:58:45.605,Wel Berijding
,,,17/Apr/19 14:40:31.103,Rechts in controle,,17/Apr/19 11:56:15.768,Motorstroom Actief,,16/Apr/19 21:59:01.455,Geen Berijding
,,,17/Apr/19 14:42:55.012,Uit controle,,17/Apr/19 11:56:17.118,Geen Motorstroom,,16/Apr/19 22:00:36.706,Wel Berijding
,,,17/Apr/19 14:42:56.362,Links in controle,,17/Apr/19 11:59:45.018,Motorstroom Actief,,16/Apr/19 22:00:55.254,Geen Berijding
,,,17/Apr/19 14:56:13.860,Uit controle,,17/Apr/19 11:59:46.368,Geen Motorstroom,,16/Apr/19 22:11:42.467,Wel Berijding
,,,17/Apr/19 14:56:15.160,Rechts in controle,,17/Apr/19 12:02:54.228,Motorstroom Actief,,16/Apr/19 22:12:40.167,Geen Berijding
,,,17/Apr/19 15:02:58.320,Uit controle,,17/Apr/19 12:02:55.558,Geen Motorstroom,,16/Apr/19 22:18:26.116,Wel Berijding
,,,17/Apr/19 15:02:59.620,Links in controle,,17/Apr/19 12:05:18.388,Motorstroom Actief,,16/Apr/19 22:18:54.368,Geen Berijding
,,,17/Apr/19 15:05:34.520,Uit controle,,17/Apr/19 12:05:19.728,Geen Motorstroom,,16/Apr/19 22:26:04.228,Wel Berijding
,,,17/Apr/19 15:05:35.770,Rechts in controle,,17/Apr/19 12:11:51.807,Motorstroom Actief,,16/Apr/19 22:26:25.077,Geen Berijding
,,,17/Apr/19 15:10:14.819,Uit controle,,17/Apr/19 12:11:53.147,Geen Motorstroom,,16/Apr/19 22:28:11.527,Wel Berijding
,,,17/Apr/19 15:10:16.069,Links in controle,,17/Apr/19 12:14:14.987,Motorstroom Actief,,16/Apr/19 22:28:26.478,Geen Berijding
,,,17/Apr/19 15:16:07.179,Uit controle,,17/Apr/19 12:14:16.327,Geen Motorstroom,,16/Apr/19 22:32:17.378,Wel Berijding
,,,17/Apr/19 15:16:08.479,Rechts in controle,,17/Apr/19 14:19:43.336,Motorstroom Actief,,16/Apr/19 22:32:52.828,Geen Berijding
,,,17/Apr/19 15:19:01.379,Uit controle,,17/Apr/19 14:19:44.676,Geen Motorstroom,,16/Apr/19 22:36:00.077,Wel Berijding
,,,17/Apr/19 15:19:02.679,Links in controle,,17/Apr/19 14:22:39.546,Motorstroom Actief,,16/Apr/19 22:36:59.038,Geen Berijding
,,,17/Apr/19 15:21:31.579,Uit controle,,17/Apr/19 14:22:40.886,Geen Motorstroom,,16/Apr/19 22:38:30.188,Wel Berijding
,,,17/Apr/19 15:21:32.829,Rechts in controle,,17/Apr/19 14:25:59.755,Motorstroom Actief,,16/Apr/19 22:38:41.488,Geen Berijding
,,,17/Apr/19 15:24:24.728,Uit controle,,17/Apr/19 14:26:01.095,Geen Motorstroom,,16/Apr/19 22:41:24.038,Wel Berijding
,,,17/Apr/19 15:24:26.028,Links in controle,,17/Apr/19 14:29:25.997,Motorstroom Actief,,16/Apr/19 22:41:58.437,Geen Berijding
,,,17/Apr/19 15:27:32.937,Uit controle,,17/Apr/19 14:29:27.347,Geen Motorstroom,,16/Apr/19 22:43:34.588,Wel Berijding
,,,17/Apr/19 15:27:34.237,Rechts in controle,,17/Apr/19 14:33:56.286,Motorstroom Actief,,16/Apr/19 22:43:47.437,Geen Berijding
,,,17/Apr/19 15:32:53.337,Uit controle,,17/Apr/19 14:33:57.636,Geen Motorstroom,,16/Apr/19 22:45:43.487,Wel Berijding
,,,17/Apr/19 15:32:54.637,Links in controle,,17/Apr/19 14:36:10.446,Motorstroom Actief,,16/Apr/19 22:46:08.087,Geen Berijding
,,,17/Apr/19 15:35:11.487,Uit controle,,17/Apr/19 14:36:11.806,Geen Motorstroom,,16/Apr/19 22:51:25.938,Wel Berijding
,,,17/Apr/19 15:35:12.736,Rechts in controle,,17/Apr/19 14:40:29.715,Motorstroom Actief,,16/Apr/19 22:51:48.337,Geen Berijding
,,,17/Apr/19 15:42:18.935,Uit controle,,17/Apr/19 14:40:31.065,Geen Motorstroom,,16/Apr/19 22:58:20.298,Wel Berijding
,,,17/Apr/19 15:42:20.236,Links in controle,,17/Apr/19 14:42:54.905,Motorstroom Actief,,16/Apr/19 22:58:37.496,Geen Berijding
,,,17/Apr/19 15:44:21.095,Uit controle,,17/Apr/19 14:42:56.255,Geen Motorstroom,,16/Apr/19 23:01:12.796,Wel Berijding
,,,17/Apr/19 15:44:22.346,Rechts in controle,,17/Apr/19 14:56:13.773,Motorstroom Actief,,16/Apr/19 23:01:24.397,Geen Berijding
,,,17/Apr/19 15:48:36.345,Uit controle,,17/Apr/19 14:56:15.113,Geen Motorstroom,,16/Apr/19 23:04:42.946,Wel Berijding
,,,17/Apr/19 15:48:37.645,Links in controle,,17/Apr/19 15:02:58.242,Motorstroom Actief,,16/Apr/19 23:05:22.746,Geen Berijding
,,,17/Apr/19 15:59:34.105,Uit controle,,17/Apr/19 15:02:59.592,Geen Motorstroom,,16/Apr/19 23:07:42.208,Wel Berijding
,,,17/Apr/19 15:59:35.355,Rechts in controle,,17/Apr/19 15:05:34.402,Motorstroom Actief,,16/Apr/19 23:07:51.407,Geen Berijding
,,,17/Apr/19 16:01:45.255,Uit controle,,17/Apr/19 15:05:35.732,Geen Motorstroom,,16/Apr/19 23:11:56.408,Wel Berijding
,,,17/Apr/19 16:01:46.555,Links in controle,,17/Apr/19 15:10:14.711,Motorstroom Actief,,16/Apr/19 23:12:17.307,Geen Berijding
,,,17/Apr/19 16:04:41.454,Uit controle,,17/Apr/19 15:10:16.051,Geen Motorstroom,,16/Apr/19 23:21:03.157,Wel Berijding
,,,17/Apr/19 16:04:42.704,Rechts in controle,,17/Apr/19 15:16:07.102,Motorstroom Actief,,16/Apr/19 23:21:28.357,Geen Berijding
,,,17/Apr/19 16:07:31.604,Uit controle,,17/Apr/19 15:16:08.442,Geen Motorstroom,,16/Apr/19 23:23:58.818,Wel Berijding
,,,17/Apr/19 16:07:32.904,Links in controle,,17/Apr/19 15:19:01.301,Motorstroom Actief,,16/Apr/19 23:24:25.917,Geen Berijding
,,,17/Apr/19 16:10:28.804,Uit controle,,17/Apr/19 15:19:02.641,Geen Motorstroom,,16/Apr/19 23:28:49.369,Wel Berijding
,,,17/Apr/19 16:10:30.054,Rechts in controle,,17/Apr/19 15:21:31.461,Motorstroom Actief,,16/Apr/19 23:28:58.367,Geen Berijding
,,,17/Apr/19 16:13:42.064,Uit controle,,17/Apr/19 15:21:32.791,Geen Motorstroom,,16/Apr/19 23:31:04.768,Wel Berijding
,,,17/Apr/19 16:13:43.314,Links in controle,,17/Apr/19 15:24:24.651,Motorstroom Actief,,16/Apr/19 23:31:24.867,Geen Berijding
,,,17/Apr/19 16:16:46.263,Uit controle,,17/Apr/19 15:24:26.011,Geen Motorstroom,,16/Apr/19 23:35:07.417,Wel Berijding
,,,17/Apr/19 16:16:47.513,Rechts in controle,,17/Apr/19 15:27:32.860,Motorstroom Actief,,16/Apr/19 23:35:32.367,Geen Berijding
,,,17/Apr/19 16:20:55.513,Uit controle,,17/Apr/19 15:27:34.220,Geen Motorstroom,,16/Apr/19 23:37:24.879,Wel Berijding
,,,17/Apr/19 16:20:56.813,Links in controle,,17/Apr/19 15:32:53.229,Motorstroom Actief,,16/Apr/19 23:37:40.729,Geen Berijding
,,,17/Apr/19 16:23:26.662,Uit controle,,17/Apr/19 15:32:54.579,Geen Motorstroom,,16/Apr/19 23:42:55.978,Wel Berijding
,,,17/Apr/19 16:23:27.962,Rechts in controle,,17/Apr/19 15:35:11.369,Motorstroom Actief,,16/Apr/19 23:43:16.378,Geen Berijding
,,,17/Apr/19 16:26:13.862,Uit controle,,17/Apr/19 15:35:12.709,Geen Motorstroom,,16/Apr/19 23:58:12.839,Wel Berijding
,,,17/Apr/19 16:26:15.162,Links in controle,,17/Apr/19 15:42:18.848,Motorstroom Actief,,16/Apr/19 23:58:23.038,Geen Berijding
,,,17/Apr/19 16:29:36.123,Uit controle,,17/Apr/19 15:42:20.188,Geen Motorstroom,,17/Apr/19 00:04:07.989,Wel Berijding
,,,17/Apr/19 16:29:37.373,Rechts in controle,,17/Apr/19 15:44:20.988,Motorstroom Actief,,17/Apr/19 00:04:31.688,Geen Berijding
,,,17/Apr/19 16:35:18.472,Uit controle,,17/Apr/19 15:44:22.318,Geen Motorstroom,,17/Apr/19 00:07:33.250,Wel Berijding
,,,17/Apr/19 16:35:19.772,Links in controle,,17/Apr/19 15:48:36.278,Motorstroom Actief,,17/Apr/19 00:07:51.400,Geen Berijding
,,,17/Apr/19 16:38:23.671,Uit controle,,17/Apr/19 15:48:37.608,Geen Motorstroom,,17/Apr/19 00:31:13.460,Wel Berijding
,,,17/Apr/19 16:38:24.921,Rechts in controle,,17/Apr/19 15:59:33.998,Motorstroom Actief,,17/Apr/19 00:31:40.911,Geen Berijding
,,,17/Apr/19 16:44:30.080,Uit controle,,17/Apr/19 15:59:35.338,Geen Motorstroom,,17/Apr/19 00:37:04.362,Wel Berijding
,,,17/Apr/19 16:44:31.380,Links in controle,,17/Apr/19 16:01:45.158,Motorstroom Actief,,17/Apr/19 00:37:13.360,Geen Berijding
,,,17/Apr/19 16:48:37.379,Uit controle,,17/Apr/19 16:01:46.498,Geen Motorstroom,,17/Apr/19 01:00:38.983,Wel Berijding
,,,17/Apr/19 16:48:38.629,Rechts in controle,,17/Apr/19 16:04:41.337,Motorstroom Actief,,17/Apr/19 01:00:50.833,Geen Berijding
,,,17/Apr/19 16:56:17.879,Uit controle,,17/Apr/19 16:04:42.677,Geen Motorstroom,,17/Apr/19 02:59:05.064,Wel Berijding
,,,17/Apr/19 16:56:19.178,Links in controle,,17/Apr/19 16:07:31.527,Motorstroom Actief,,17/Apr/19 04:12:51.467,Geen Berijding
,,,17/Apr/19 16:59:03.090,Uit controle,,17/Apr/19 16:07:32.887,Geen Motorstroom,,17/Apr/19 06:04:52.640,Wel Berijding
,,,17/Apr/19 16:59:04.340,Rechts in controle,,17/Apr/19 16:10:28.716,Motorstroom Actief,,17/Apr/19 06:05:17.190,Geen Berijding
,,,17/Apr/19 17:02:45.289,Uit controle,,17/Apr/19 16:10:30.046,Geen Motorstroom,,17/Apr/19 06:14:53.502,Wel Berijding
,,,17/Apr/19 17:02:46.590,Links in controle,,17/Apr/19 16:13:41.956,Motorstroom Actief,,17/Apr/19 06:15:11.351,Geen Berijding
,,,17/Apr/19 17:05:25.489,Uit controle,,17/Apr/19 16:13:43.306,Geen Motorstroom,,17/Apr/19 06:27:38.261,Wel Berijding
,,,17/Apr/19 17:05:26.739,Rechts in controle,,17/Apr/19 16:16:46.146,Motorstroom Actief,,17/Apr/19 06:27:57.861,Geen Berijding
,,,17/Apr/19 17:11:54.938,Uit controle,,17/Apr/19 16:16:47.486,Geen Motorstroom,,17/Apr/19 06:31:32.511,Wel Berijding
,,,17/Apr/19 17:11:56.188,Links in controle,,17/Apr/19 16:20:55.435,Motorstroom Actief,,17/Apr/19 06:31:43.160,Geen Berijding
,,,17/Apr/19 17:15:54.198,Uit controle,,17/Apr/19 16:20:56.785,Geen Motorstroom,,17/Apr/19 06:37:02.060,Wel Berijding
,,,17/Apr/19 17:15:55.448,Rechts in controle,,17/Apr/19 16:23:26.585,Motorstroom Actief,,17/Apr/19 06:37:14.510,Geen Berijding
,,,17/Apr/19 17:18:32.348,Uit controle,,17/Apr/19 16:23:27.925,Geen Motorstroom,,17/Apr/19 06:41:58.772,Wel Berijding
,,,17/Apr/19 17:18:33.648,Links in controle,,17/Apr/19 16:26:13.784,Motorstroom Actief,,17/Apr/19 06:42:23.522,Geen Berijding
,,,17/Apr/19 17:29:32.108,Uit controle,,17/Apr/19 16:26:15.134,Geen Motorstroom,,17/Apr/19 06:45:53.873,Wel Berijding
,,,17/Apr/19 17:29:33.358,Rechts in controle,,17/Apr/19 16:29:35.995,Motorstroom Actief,,17/Apr/19 06:46:09.672,Geen Berijding
,,,17/Apr/19 17:32:15.257,Uit controle,,17/Apr/19 16:29:37.345,Geen Motorstroom,,17/Apr/19 06:49:37.824,Wel Berijding
,,,17/Apr/19 17:32:16.558,Links in controle,,17/Apr/19 16:35:18.384,Motorstroom Actief,,17/Apr/19 06:50:07.672,Geen Berijding
,,,17/Apr/19 17:35:20.457,Uit controle,,17/Apr/19 16:35:19.734,Geen Motorstroom,,17/Apr/19 06:58:24.532,Wel Berijding
,,,17/Apr/19 17:35:21.757,Rechts in controle,,17/Apr/19 16:38:23.584,Motorstroom Actief,,17/Apr/19 06:58:37.533,Geen Berijding
,,,17/Apr/19 17:37:30.606,Uit controle,,17/Apr/19 16:38:24.924,Geen Motorstroom,,17/Apr/19 07:01:06.232,Wel Berijding
,,,17/Apr/19 17:37:31.907,Links in controle,,17/Apr/19 16:44:30.003,Motorstroom Actief,,17/Apr/19 07:01:25.834,Geen Berijding
,,,17/Apr/19 17:40:09.806,Uit controle,,17/Apr/19 16:44:31.343,Geen Motorstroom,,17/Apr/19 07:09:10.283,Wel Berijding
,,,17/Apr/19 17:40:11.056,Rechts in controle,,17/Apr/19 16:48:37.262,Motorstroom Actief,,17/Apr/19 07:09:27.432,Geen Berijding
,,,17/Apr/19 17:42:15.956,Uit controle,,17/Apr/19 16:48:38.592,Geen Motorstroom,,17/Apr/19 07:12:12.940,Wel Berijding
,,,17/Apr/19 17:42:17.206,Links in controle,,17/Apr/19 16:56:17.791,Motorstroom Actief,,17/Apr/19 07:12:25.090,Geen Berijding
,,,17/Apr/19 17:45:50.166,Uit controle,,17/Apr/19 16:56:19.131,Geen Motorstroom,,17/Apr/19 07:14:31.941,Wel Berijding
,,,17/Apr/19 17:45:51.416,Rechts in controle,,17/Apr/19 16:59:02.962,Motorstroom Actief,,17/Apr/19 07:14:52.690,Geen Berijding
,,,17/Apr/19 17:49:21.415,Uit controle,,17/Apr/19 16:59:04.302,Geen Motorstroom,,17/Apr/19 07:18:28.242,Wel Berijding
,,,17/Apr/19 17:49:22.715,Links in controle,,17/Apr/19 17:02:45.222,Motorstroom Actief,,17/Apr/19 07:18:52.191,Geen Berijding
,,,17/Apr/19 17:58:18.014,Uit controle,,17/Apr/19 17:02:46.562,Geen Motorstroom,,17/Apr/19 07:28:10.154,Wel Berijding
,,,17/Apr/19 17:58:19.264,Rechts in controle,,17/Apr/19 17:05:25.381,Motorstroom Actief,,17/Apr/19 07:28:23.853,Geen Berijding
,,,17/Apr/19 18:00:52.173,Uit controle,,17/Apr/19 17:05:26.721,Geen Motorstroom,,17/Apr/19 07:31:35.704,Wel Berijding
