Sturing Stand,6338,,Controle Stand,12886,,MotorstroomActief,12897,,Sectie Berijding,13578
01/Apr/19 09:49:13.288,Sturing Rechts,,01/Apr/19 07:12:30.305,Links in controle,,01/Apr/19 07:12:30.258,Geen Motorstroom,,01/Apr/19 07:14:39.794,Geen Berijding
01/Apr/19 09:56:02.737,Sturing Links,,01/Apr/19 07:17:10.255,Uit controle,,01/Apr/19 07:17:10.167,Motorstroom Actief,,01/Apr/19 07:18:58.495,Wel Berijding
01/Apr/19 10:01:16.096,Sturing Rechts,,01/Apr/19 07:17:11.605,Rechts in controle,,01/Apr/19 07:17:11.577,Geen Motorstroom,,01/Apr/19 07:19:28.195,Geen Berijding
01/Apr/19 10:03:45.246,Sturing Links,,01/Apr/19 07:21:42.554,Uit controle,,01/Apr/19 07:21:42.476,Motorstroom Actief,,01/Apr/19 07:23:38.394,Wel Berijding
01/Apr/19 10:06:19.445,Sturing Rechts,,01/Apr/19 07:21:43.854,Links in controle,,01/Apr/19 07:21:43.856,Geen Motorstroom,,01/Apr/19 07:24:02.594,Geen Berijding
01/Apr/19 10:16:26.104,Sturing Links,,01/Apr/19 07:30:58.213,Uit controle,,01/Apr/19 07:30:58.085,Motorstroom Actief,,01/Apr/19 07:33:03.905,Wel Berijding
01/Apr/19 10:19:44.304,Sturing Rechts,,01/Apr/19 07:30:59.513,Rechts in controle,,01/Apr/19 07:30:59.485,Geen Motorstroom,,01/Apr/19 07:33:30.855,Geen Berijding
01/Apr/19 10:32:39.212,Sturing Links,,01/Apr/19 07:33:37.362,Uit controle,,01/Apr/19 07:33:37.275,Motorstroom Actief,,01/Apr/19 07:34:48.704,Wel Berijding
01/Apr/19 10:34:57.312,Sturing Rechts,,01/Apr/19 07:33:38.662,Links in controle,,01/Apr/19 07:33:38.655,Geen Motorstroom,,01/Apr/19 07:35:08.555,Geen Berijding
01/Apr/19 10:43:52.923,Sturing Links,,01/Apr/19 07:36:50.562,Uit controle,,01/Apr/19 07:36:50.474,Motorstroom Actief,,01/Apr/19 07:37:14.205,Wel Berijding
01/Apr/19 10:48:18.222,Sturing Rechts,,01/Apr/19 07:36:51.912,Rechts in controle,,01/Apr/19 07:36:51.874,Geen Motorstroom,,01/Apr/19 07:37:28.854,Geen Berijding
01/Apr/19 10:57:10.821,Sturing Links,,01/Apr/19 07:39:37.761,Uit controle,,01/Apr/19 07:39:37.664,Motorstroom Actief,,01/Apr/19 07:41:19.263,Wel Berijding
01/Apr/19 11:00:17.030,Sturing Rechts,,01/Apr/19 07:39:39.062,Links in controle,,01/Apr/19 07:39:39.044,Geen Motorstroom,,01/Apr/19 07:41:41.913,Geen Berijding
01/Apr/19 11:03:42.279,Sturing Links,,01/Apr/19 07:41:58.921,Uit controle,,01/Apr/19 07:41:58.824,Motorstroom Actief,,01/Apr/19 07:43:08.063,Wel Berijding
01/Apr/19 11:06:14.429,Sturing Rechts,,01/Apr/19 07:42:00.271,Rechts in controle,,01/Apr/19 07:42:00.224,Geen Motorstroom,,01/Apr/19 07:43:36.663,Geen Berijding
01/Apr/19 11:12:12.828,Sturing Links,,01/Apr/19 07:45:59.171,Uit controle,,01/Apr/19 07:45:59.093,Motorstroom Actief,,01/Apr/19 07:46:57.163,Wel Berijding
01/Apr/19 11:17:07.139,Sturing Rechts,,01/Apr/19 07:46:00.521,Links in controle,,01/Apr/19 07:46:00.473,Geen Motorstroom,,01/Apr/19 07:47:20.714,Geen Berijding
01/Apr/19 11:25:04.688,Sturing Links,,01/Apr/19 07:49:57.470,Uit controle,,01/Apr/19 07:49:57.343,Motorstroom Actief,,01/Apr/19 07:51:52.415,Wel Berijding
01/Apr/19 11:27:13.837,Sturing Rechts,,01/Apr/19 07:49:58.770,Rechts in controle,,01/Apr/19 07:49:58.763,Geen Motorstroom,,01/Apr/19 07:52:19.813,Geen Berijding
01/Apr/19 11:31:18.097,Sturing Links,,01/Apr/19 07:57:05.930,Uit controle,,01/Apr/19 07:57:05.843,Motorstroom Actief,,01/Apr/19 07:58:44.725,Wel Berijding
01/Apr/19 11:34:11.296,Sturing Rechts,,01/Apr/19 07:57:07.230,Links in controle,,01/Apr/19 07:57:07.223,Geen Motorstroom,,01/Apr/19 07:59:02.324,Geen Berijding
01/Apr/19 11:36:31.446,Sturing Links,,01/Apr/19 08:05:57.528,Uit controle,,01/Apr/19 08:05:57.421,Motorstroom Actief,,01/Apr/19 08:04:50.574,Wel Berijding
01/Apr/19 11:48:51.256,Sturing Rechts,,01/Apr/19 08:05:58.829,Rechts in controle,,01/Apr/19 08:05:58.821,Geen Motorstroom,,01/Apr/19 08:05:14.024,Geen Berijding
01/Apr/19 12:01:47.116,Sturing Links,,01/Apr/19 08:14:00.038,Uit controle,,01/Apr/19 08:13:59.971,Motorstroom Actief,,01/Apr/19 08:07:53.725,Wel Berijding
01/Apr/19 12:04:09.266,Sturing Rechts,,01/Apr/19 08:14:01.388,Links in controle,,01/Apr/19 08:14:01.351,Geen Motorstroom,,01/Apr/19 08:08:22.575,Geen Berijding
01/Apr/19 12:17:14.173,Sturing Links,,01/Apr/19 08:16:46.238,Uit controle,,01/Apr/19 08:16:46.141,Motorstroom Actief,,01/Apr/19 08:14:54.986,Wel Berijding
01/Apr/19 12:20:19.372,Sturing Rechts,,01/Apr/19 08:16:47.588,Rechts in controle,,01/Apr/19 08:16:47.551,Geen Motorstroom,,01/Apr/19 08:15:13.386,Geen Berijding
01/Apr/19 12:22:51.522,Sturing Links,,01/Apr/19 08:19:49.438,Uit controle,,01/Apr/19 08:19:49.350,Motorstroom Actief,,01/Apr/19 08:18:35.635,Wel Berijding
01/Apr/19 12:26:00.722,Sturing Rechts,,01/Apr/19 08:19:50.738,Links in controle,,01/Apr/19 08:19:50.730,Geen Motorstroom,,01/Apr/19 08:19:07.436,Geen Berijding
